"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"MARUTI","EQ","09-May-2018","       8775.20","       8795.00","       8795.00","       8705.00","       8720.85","       8718.35","       8726.68","     314057","          2740676243.95","      51561","     196209","         62.48"
"MARUTI","EQ","10-May-2018","       8718.35","       8758.00","       8758.00","       8690.00","       8708.55","       8704.95","       8712.78","     298598","          2601619415.45","      48550","     189158","         63.35"
"MARUTI","EQ","11-May-2018","       8704.95","       8738.00","       8765.00","       8702.05","       8721.60","       8750.30","       8730.04","     264405","          2308265686.65","      38803","     150831","         57.05"
"MARUTI","EQ","14-May-2018","       8750.30","       8751.00","       8760.00","       8688.10","       8702.35","       8707.00","       8717.46","     276620","          2411424056.10","      47216","     172581","         62.39"
"MARUTI","EQ","15-May-2018","       8707.00","       8725.00","       8750.35","       8639.00","       8725.00","       8726.60","       8719.20","     506107","          4412846810.90","      66001","     337807","         66.75"
"MARUTI","EQ","16-May-2018","       8726.60","       8675.00","       8733.45","       8675.00","       8695.60","       8695.60","       8705.02","     288597","          2512241648.45","      63410","     174919","         60.61"
"MARUTI","EQ","17-May-2018","       8695.60","       8725.00","       8766.45","       8661.20","       8672.00","       8697.50","       8726.05","     379606","          3312461898.35","      46952","     225105","         59.30"
"MARUTI","EQ","18-May-2018","       8697.50","       8700.80","       8725.00","       8496.00","       8518.00","       8510.95","       8587.18","     603507","          5182421772.50","      65350","     401133","         66.47"
"MARUTI","EQ","21-May-2018","       8510.95","       8518.00","       8524.80","       8255.50","       8434.95","       8428.50","       8380.22","     872463","          7311434968.90","     107122","     515676","         59.11"
"MARUTI","EQ","22-May-2018","       8428.50","       8416.00","       8586.40","       8371.25","       8556.10","       8560.65","       8508.98","     410467","          3492656122.40","      57096","     204839","         49.90"
"MARUTI","EQ","23-May-2018","       8560.65","       8560.00","       8564.80","       8458.20","       8482.00","       8497.40","       8504.30","     399631","          3398583196.90","      65778","     261968","         65.55"
"MARUTI","EQ","24-May-2018","       8497.40","       8500.10","       8518.30","       8400.00","       8429.00","       8410.75","       8430.91","     292331","          2464616797.30","      32920","     155733","         53.27"
"MARUTI","EQ","25-May-2018","       8410.75","       8412.00","       8574.00","       8395.15","       8564.00","       8548.15","       8487.93","     519151","          4406518426.05","      67053","     286141","         55.12"
"MARUTI","EQ","28-May-2018","       8548.15","       8560.00","       8785.00","       8555.10","       8710.00","       8709.30","       8700.69","     446264","          3882802865.50","      63851","     168473","         37.75"
"MARUTI","EQ","29-May-2018","       8709.30","       8718.00","       8840.00","       8680.00","       8704.65","       8714.90","       8775.99","     665121","          5837092839.75","      70286","     305624","         45.95"
"MARUTI","EQ","30-May-2018","       8714.90","       8669.00","       8669.00","       8572.85","       8587.65","       8588.20","       8603.90","     508262","          4373033452.95","      83679","     322767","         63.50"
"MARUTI","EQ","31-May-2018","       8588.20","       8639.00","       8639.10","       8515.90","       8552.05","       8537.20","       8550.12","     679959","          5813733680.95","      73456","     320942","         47.20"
"MARUTI","EQ","01-Jun-2018","       8537.20","       8610.00","       8848.40","       8590.05","       8798.00","       8808.85","       8752.36","    1002010","          8769949766.50","     100027","     303175","         30.26"
"MARUTI","EQ","04-Jun-2018","       8808.85","       8840.00","       8840.00","       8726.05","       8746.00","       8749.85","       8762.81","     380690","          3335912407.80","      56992","     186961","         49.11"
"MARUTI","EQ","05-Jun-2018","       8749.85","       8750.00","       8830.00","       8680.00","       8825.00","       8810.40","       8782.85","     400886","          3520921844.40","      43772","     195184","         48.69"
"MARUTI","EQ","06-Jun-2018","       8810.40","       8829.00","       8870.00","       8810.00","       8830.00","       8842.35","       8845.48","     328784","          2908253790.80","      45366","     125180","         38.07"
"MARUTI","EQ","07-Jun-2018","       8842.35","       8874.00","       8934.80","       8865.00","       8908.00","       8911.25","       8907.55","     267961","          2386874831.15","      33259","     125833","         46.96"
